FORMATION,Calibre (CALI),Resistividad Media (RMED),Resistividad Profunda (RDEP),Densidad Total (RHOB),Rayos Gamma (GR),Factor Fotoeléctrico (PEF),Lentitud Compresional (DTC),Potencial Espontáneo (SP),Resistividad de Zona Lavada (RXO),Porosidad de Densidad (PHID),Volumen de Arcilla (VSH),TARGET,TARGET_BINARIO
UNKNOWN,15.350845337,2.0084681511,2.9653127193,1.8,54.86737442,10.5,113.19107819,61.013442993,2.0647928715,0.45,0.5445856828576264,POBRE,NO_RESERVORIO
UNKNOWN,15.259827614,2.2323281765,2.6636555195,1.8,51.789737701,10.5,113.19107819,59.488521576,2.0782034397,0.45,0.49088121204946233,JUSTO,RESERVORIO
UNKNOWN,15.264131546,2.3424320221,2.5884001255,1.8485010862,49.580486298,10.5,113.19107819,60.28603363,2.1682665348,0.45,0.4523299831965454,JUSTO,RESERVORIO
UNKNOWN,15.251912117,2.4155521393,2.6547617912,1.9431729317,50.94657135,10.5,113.19107819,59.864864349,2.3091402054,0.4283800413939394,0.4761680386576336,JUSTO,RESERVORIO
UNKNOWN,15.25,2.4748463631,2.760133028,2.0452959538,50.440006256,8.2050828934,113.19107819,59.241470337,2.3004233837,0.3664873007272726,0.4673285254898814,JUSTO,RESERVORIO
UNKNOWN,15.25,2.4942359924,2.8213620186,2.1043221951,50.948005676,5.9049286842,113.19107819,59.166000366,2.3910861015,0.33071382115151515,0.4761930675112085,JUSTO,RESERVORIO
UNKNOWN,15.25,2.4707283974,2.7990705967,2.1127429008,52.291484833,5.3194541931,113.19107819,59.930706024,2.5582909584,0.3256103631515152,0.4996366522342056,JUSTO,RESERVORIO
UNKNOWN,15.27696991,2.376645565,2.8072359562,2.1112623215,52.250526428,4.8727087975,113.19107819,58.73392868,2.4008305073,0.32650768393939394,0.49892193192557016,JUSTO,RESERVORIO
UNKNOWN,15.267991066,2.3127641678,2.8307857513,2.105802536,50.367614746,4.5130729675,113.19107819,58.866775513,2.3357856274,0.3298166448484847,0.46606530046024996,JUSTO,RESERVORIO
UNKNOWN,15.299726486,2.2557766438,2.6046404839,2.1101820469,50.067070007,4.2404947281,113.19107819,57.61687851,2.3160994053,0.32716239581818185,0.46082082307845634,JUSTO,RESERVORIO
UNKNOWN,15.305000305,2.2006492615,2.5266935825,2.1092779636,51.740497589,4.2229585648,113.19107819,58.06357193,2.3469128609,0.32771032509090914,0.490021976733881,JUSTO,RESERVORIO
UNKNOWN,15.331644058,2.1329212189,2.4828670025,2.1047081947,53.376220703,4.2737674713,113.19107819,57.735572815,2.2811880112,0.3304798819999999,0.5185651909747728,POBRE,NO_RESERVORIO
UNKNOWN,15.38312912,2.0862085819,2.4141530991,2.0920188427,53.1369133,4.3942704201,113.19107819,58.309726715,2.3070194721,0.3381703983636364,0.5143892993371247,POBRE,NO_RESERVORIO
UNKNOWN,15.457632065,2.0586740971,2.3791103363,2.0797622204,51.58782196,4.460296154,113.19107819,58.095096588,2.2357563972,0.34559865430303016,0.48735780139111573,JUSTO,RESERVORIO
UNKNOWN,15.50902462,2.0498976707,2.3732886314,2.0694949627,49.258274078,4.736702919,113.19107819,59.42729187,2.1742303371,0.3518212347272728,0.4467074103125546,JUSTO,RESERVORIO
UNKNOWN,15.535528183,2.0371315479,2.359351635,2.0569770336,46.08108139,4.796587944,113.19107819,59.559696198,2.2444791794,0.35940785842424244,0.39126569722432164,JUSTO,RESERVORIO
